date,quantity
2016-10-31,1341
2016-11-07,2199
2016-11-14,1893
2016-11-21,1685
2016-11-28,2223
2016-12-05,1815
2016-12-12,1321
2016-12-19,1085
2016-12-26,1727
2017-01-02,29331
2017-01-09,10029
2017-01-16,9537
2017-01-23,4368
2017-01-30,3812
2017-02-06,2559
2017-02-13,1946
2017-02-20,1836
2017-02-27,1440
2017-03-06,859
2017-03-13,731
2017-03-20,1134
2017-03-27,1177
2017-04-03,1616
2017-04-10,4523
2017-04-17,11089
2017-04-24,10670
2017-05-01,13065
2017-05-08,11626
2017-05-15,10772
2017-05-22,8077
2017-05-29,10403
2017-06-05,13093
2017-06-12,9744
2017-06-19,9237
2017-06-26,12819
2017-07-03,10127
2017-07-10,9449
2017-07-17,11723
2017-07-24,11158
2017-07-31,10824
2017-08-07,9534
2017-08-14,9207
2017-08-21,9029
2017-08-28,10123
2017-09-04,11504
2017-09-11,10795
2017-09-18,9894
2017-09-25,12336
2017-10-02,13392
2017-10-09,14852
2017-10-16,11074
2017-10-23,12211
2017-10-30,12187
2017-11-06,13447
2017-11-13,12814
2017-11-20,24541
2017-11-27,26380
2017-12-04,27067
2017-12-11,25664
2017-12-18,20062
2017-12-25,11977
2018-01-01,12902
2018-01-08,12538
2018-01-15,12683
2018-01-22,10861
2018-01-29,11296
2018-02-05,11322
2018-02-12,10865
2018-02-19,10084
2018-02-26,11022
2018-03-05,11297
2018-03-12,11187
2018-03-19,11374
2018-03-26,10453
2018-04-02,10855
2018-04-09,10166
2018-04-16,9170
2018-04-23,9356
2018-04-30,9779
2018-05-07,8708
2018-05-14,9069
2018-05-21,7003
2018-05-28,8819
2018-06-04,8866
2018-06-11,10869
2018-06-18,9245
2018-06-25,9328
2018-07-02,9533
2018-07-09,11430
2018-07-16,9596
2018-07-23,10213
2018-07-30,11471
2018-08-06,11880
2018-08-13,11576
2018-08-20,10796
2018-08-27,10948
2018-09-03,10853
2018-09-10,11754
2018-09-17,22789
2018-09-24,23621
2018-10-01,12289
2018-10-08,13334
2018-10-15,11715
2018-10-22,15298
2018-10-29,8631
