DATE,OPEN,HIGH,LOW,CLOSE
2016-10-31,1.0882,1.09917,1.0848,1.09897
2016-11-07,1.09896,1.1145,1.0934,1.1067
2016-11-14,1.10673,1.12996,1.0824,1.083
2016-11-21,1.083,1.08418,1.0567,1.05986
2016-11-28,1.0599,1.066,1.0517,1.0611899999999999
2016-12-05,1.0614,1.0689799999999998,1.05518,1.0640100000000001
2016-12-12,1.06443,1.08736,1.0503799999999999,1.05305
2016-12-19,1.05304,1.06701,1.0364,1.04288
2016-12-26,1.04287,1.0499399999999999,1.035,1.0451
2017-01-02,1.04554,1.06536,1.037,1.0515
2017-01-09,1.0515,1.06221,1.0339399999999999,1.05281
2017-01-16,1.0528,1.0684799999999999,1.0452,1.06018
2017-01-23,1.0599,1.072,1.0577,1.07051
2017-01-30,1.07051,1.0775,1.0655,1.0715
2017-02-06,1.0717,1.0828799999999998,1.06188,1.0794
2017-02-13,1.0794,1.0798,1.0606,1.06236
2017-02-20,1.06259,1.068,1.0528899999999999,1.0606
2017-02-27,1.06094,1.0633,1.0492,1.0566799999999998
2017-03-06,1.05667,1.0630700000000002,1.0493,1.06024
2017-03-13,1.0602,1.0699100000000001,1.0522,1.0675700000000001
2017-03-20,1.06756,1.0782399999999999,1.0598,1.07304
2017-03-27,1.07359,1.08464,1.0717,1.08362
2017-04-03,1.08364,1.09061,1.06498,1.06605
2017-04-10,1.0657299999999998,1.069,1.0578,1.0586799999999998
2017-04-17,1.05864,1.06777,1.0568,1.06156
2017-04-24,1.0615,1.09334,1.06008,1.09175
2017-05-01,1.09185,1.09509,1.0818,1.091
2017-05-08,1.09101,1.10222,1.0873,1.1017
2017-05-15,1.1019,1.10235,1.0837,1.09296
2017-05-22,1.0929200000000001,1.12122,1.092,1.11922
2017-05-29,1.11945,1.12683,1.1159,1.11691
2017-06-05,1.11771,1.1285100000000001,1.1107,1.1271
2017-06-12,1.1271,1.1284299999999998,1.1164,1.1207
2017-06-19,1.12067,1.1296,1.113,1.1204
2017-06-26,1.1205399999999999,1.12129,1.11168,1.11963
2017-07-03,1.11962,1.14456,1.117,1.1415
2017-07-10,1.14186,1.144,1.1311,1.1395600000000001
2017-07-17,1.13988,1.14896,1.1369,1.14723
2017-07-24,1.14731,1.1683,1.1433,1.1664
2017-07-31,1.1662,1.1776799999999998,1.1612,1.17456
2017-08-07,1.175,1.19103,1.17213,1.1771
2017-08-14,1.17718,1.18472,1.16878,1.18187
2017-08-21,1.18222,1.184,1.16615,1.17556
2017-08-28,1.17605,1.1962,1.1729399999999999,1.19436
2017-09-04,1.19435,1.20704,1.1821,1.1880600000000001
2017-09-11,1.1884299999999999,1.2092399999999999,1.1867,1.2016
2017-09-18,1.2016,1.203,1.1837,1.19194
2017-09-25,1.19193,1.20341,1.186,1.18976
2017-10-02,1.18975,1.19366,1.1716,1.1790200000000002
2017-10-09,1.1790100000000001,1.18151,1.1668,1.17266
2017-10-16,1.17337,1.188,1.1718,1.181
2017-10-23,1.1810399999999999,1.186,1.1729,1.17631
2017-10-30,1.1763,1.18369,1.1572,1.16057
2017-11-06,1.16056,1.16915,1.1592,1.1611
2017-11-13,1.16151,1.168,1.1553,1.1652
2017-11-20,1.16509,1.1860700000000002,1.1636,1.1784
2017-11-27,1.1785,1.19444,1.1712,1.1938799999999998
2017-12-04,1.1941,1.19612,1.1808,1.1854200000000001
2017-12-11,1.18541,1.188,1.1729,1.176
2017-12-18,1.17616,1.1862700000000002,1.1716,1.17394
2017-12-25,1.1743299999999999,1.19018,1.1736,1.1858
